No entertainer history,Бүжигчний түүх байхгүй
No service history,Үйлчилгээний түүх байхгүй
No bill history,Баримтын түүх байхгүй
Unknown,Тодорхойгүй
Unknown Service,Тодорхойгүй үйлчилгээ
Unknown Entertainer,Тодорхойгүй бүжигчин
VIP Customer Branch Profile,VIP хэрэглэгчийн салбарын профайл
VIP Rank by Branch,Салбар тус бүрийн VIP зэрэглэл
Branch Metrics,Салбарын үзүүлэлт
Finex Source,Finex эх үүсвэр
No branch profiles,Салбарын профайл алга
A branch profile already exists for this customer and branch,Энэ хэрэглэгчийн энэ салбарын профайл аль хэдийн үүссэн байна
VIP Reception,VIP үүдний бүртгэл
Find VIP customer,VIP хэрэглэгч хайх
Enter the customer's 8-digit phone number,Хэрэглэгчийн 8 оронтой утасны дугаарыг оруулна уу
Search,Хайх
Searching...,Хайж байна...
New search,Дахин хайх
Customer not found,Хэрэглэгч олдсонгүй
Register the new customer below,Шинэ хэрэглэгчийн мэдээллийг доор бүртгэнэ үү
Register Customer,Хэрэглэгч бүртгэх
Registering customer...,Хэрэглэгчийг бүртгэж байна...
Customer registered,Хэрэглэгч амжилттай бүртгэгдлээ
Customer already exists,Хэрэглэгч аль хэдийн бүртгэлтэй байна
Customer name is required,Хэрэглэгчийн нэрийг оруулна уу
Enter a valid 8-digit phone number,Зөв 8 оронтой утасны дугаар оруулна уу
Branch customer information,Салбарын хэрэглэгчийн мэдээлэл
Your user is not assigned to a branch,Таны хэрэглэгчид салбар оноогоогүй байна
You cannot view another branch's customer information,Та өөр салбарын хэрэглэгчийн мэдээллийг харах боломжгүй
You are not allowed to use VIP Reception,Та VIP үүдний бүртгэл ашиглах эрхгүй байна
